call_id,function_id,function_name,value_id,formal_parameter_position,actual_argument_position,argument_type,expression_type,value_type,default,dot_dot_dot,preforce,direct_force,direct_lookup_count,direct_metaprogram_count,indirect_force,indirect_lookup_count,indirect_metaprogram_count,S3_dispatch,S4_dispatch,forcing_actual_argument_position,non_local_return,execution_time,expression
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),475,5,5,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),476,6,6,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
644,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),477,7,7,Promise,Logical,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),478,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),479,1,1,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),480,2,2,Promise,Function Call,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),481,3,3,Missing,Unassigned,Unassigned,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),482,4,4,Promise,Character,Unbound,1,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
651,TY1fycIl7NN9h006kMV+zg==,(base::exists),483,5,5,Promise,Logical,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
657,EDQFzPNkKTGgJLS5HYLNaA==,(base::parent.env),484,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
659,+rQXObHj53jQ0uhcM6i1qw==,(base::identical),485,0,0,Promise,Symbol,Unbound,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.000000,
